"Year"	"Month"	"Date"	"NumberFires"
"1"	1993	3	"1993_3"	0
"2"	1993	4	"1993_4"	0
"3"	1993	5	"1993_5"	1
"4"	1993	6	"1993_6"	4
"5"	1993	7	"1993_7"	8
"6"	1993	8	"1993_8"	3
"7"	1993	9	"1993_9"	0
"8"	1994	3	"1994_3"	NA
"9"	1994	4	"1994_4"	0
"10"	1994	5	"1994_5"	1
"11"	1994	6	"1994_6"	1
"12"	1994	7	"1994_7"	14
"13"	1994	8	"1994_8"	NA
"14"	1994	9	"1994_9"	NA
"15"	1995	3	"1995_3"	0
"16"	1995	4	"1995_4"	0
"17"	1995	5	"1995_5"	0
"18"	1995	6	"1995_6"	0
"19"	1995	7	"1995_7"	8
"20"	1995	8	"1995_8"	3
"21"	1995	9	"1995_9"	6
"22"	1996	3	"1996_3"	0
"23"	1996	4	"1996_4"	NA
"24"	1996	5	"1996_5"	0
"25"	1996	6	"1996_6"	1
"26"	1996	7	"1996_7"	3
"27"	1996	8	"1996_8"	10
"28"	1996	9	"1996_9"	2
"29"	1997	3	"1997_3"	0
"30"	1997	4	"1997_4"	0
"31"	1997	5	"1997_5"	1
"32"	1997	6	"1997_6"	0
"33"	1997	7	"1997_7"	0
"34"	1997	8	"1997_8"	6
"35"	1997	9	"1997_9"	2
"36"	1998	3	"1998_3"	NA
"37"	1998	4	"1998_4"	NA
"38"	1998	5	"1998_5"	3
"39"	1998	6	"1998_6"	NA
"40"	1998	7	"1998_7"	6
"41"	1998	8	"1998_8"	8
"42"	1998	9	"1998_9"	2
"43"	1999	3	"1999_3"	1
"44"	1999	4	"1999_4"	4
"45"	1999	5	"1999_5"	2
"46"	1999	6	"1999_6"	3
"47"	1999	7	"1999_7"	3
"48"	1999	8	"1999_8"	9
"49"	1999	9	"1999_9"	0
"50"	2000	3	"2000_3"	0
"51"	2000	4	"2000_4"	4
"52"	2000	5	"2000_5"	2
"53"	2000	6	"2000_6"	NA
"54"	2000	7	"2000_7"	6
"55"	2000	8	"2000_8"	NA
"56"	2000	9	"2000_9"	NA
"57"	2001	3	"2001_3"	0
"58"	2001	4	"2001_4"	0
"59"	2001	5	"2001_5"	3
"60"	2001	6	"2001_6"	2
"61"	2001	7	"2001_7"	9
"62"	2001	8	"2001_8"	18
"63"	2001	9	"2001_9"	2
"64"	2002	3	"2002_3"	0
"65"	2002	4	"2002_4"	3
"66"	2002	5	"2002_5"	2
