Presence	HauteurHerbe
0	48.8
0	15.7
0	15.4
0	22.8
1	30.4
1	34.3
0	31.3
1	12.8
1	4.9
0	26.3
0	10.4
0	42.9
0	24.2
0	16.7
0	27.7
0	33.3
0	37.3
0	13.2
0	29.2
0	34.2
0	21.7
0	15.6
0	14.5
0	11.4
0	25.7
0	35.7
0	34.3
0	16.4
0	18.3
0	12.3
0	32.7
0	16.9
0	32
0	26.6
0	32.8
0	34.8
0	45.1
0	27.6
0	23.8
0	21.5
0	29.2
0	16.7
0	17.8
1	15.1
0	12
1	19.7
1	9.7
0	16.5
0	24.6
0	21.5
1	22.8
0	29.4
0	25.8
0	26.2
0	26
0	8.3
0	42.6
1	16.1
0	22.1
0	11.1
1	8.4
0	12.4
0	18.5
0	39.1
0	28.7
0	24.7
0	36.5
0	40
0	35.8
0	44.5
0	16.2
1	36.8
0	15.2
0	28.6
1	34.9
0	43.5
0	18.7
0	18.3
0	40.8
0	41.5
0	23.6
0	26.5
0	18.9
0	39
0	23.8
0	21.6
0	24.9
0	18.8
0	19
0	44.6
0	20.4
0	25.2
0	28.9
1	40.4
0	27
0	18
0	12.6
0	50.7
1	42.3
0	33.6
0	32.1
1	15.4
0	34.8
0	13.7
0	45.7
0	41.4
0	42.7
0	12.8
0	35.6
0	36.3
0	11.5
0	19
0	22.3
1	20.3
0	22.4
0	20.1
0	32.3
0	25.1
0	24
0	48.3
0	23.9
0	49.1
0	49.7
0	11.6
1	12.4
0	5.9
0	33.5
0	17.9
0	12.8
1	10.2
0	31.9
0	12.7
0	13.7
0	10.9
0	32.3
0	13.7
0	21.9
0	12.3
0	42.9
1	19
1	22.4
0	39.1
0	42.6
0	36.6
0	57.2
0	34.1
0	37.1
0	56.3
0	32.6
0	46
0	30.6
1	36.5
1	35.3
0	34.1
0	36.9
0	28.8
0	40.7
0	38.4
0	38.6
0	36.9
0	38.1
0	35.3
0	50.1
1	12
0	33.5
0	31.4
0	41.6
1	15.3
0	48.5
1	23.4
0	46.2
1	19.6
0	29.5
0	12.7
0	40.1
0	10.5
0	42.8
0	46.8
0	36
0	17.2
0	37.8
0	34.2
0	18.2
1	34.1
0	54.3
1	11.1
0	23.1
0	11.1
0	24.6
0	14.1
0	23.2
0	36.9
0	39.4
0	44.5
0	31.7
1	16
0	21.3
0	17.4
0	21.7
0	21.3
0	11.8
0	11.8
0	28.2
0	16.6
0	45.04
0	22
0	45
0	28
0	16.23
0	20
0	30
1	26.53
0	26.2
0	29.6
1	12.02
0	8.35
0	27.11
0	17.6
0	42.31
0	22.36
0	10.58
1	23.8
0	35
0	37
0	15.5
0	21.32
0	36
0	32
0	16
0	16.36
0	13.42
1	31
0	33.5
0	34
0	18.7
0	14.06
0	24.7
0	31.5
0	16.75
0	33.85
0	30.69
0	40
0	32.95
0	42.62
0	33.8
0	29.25
0	26
0	29.9
0	27.74
0	28.5
1	16.5
0	12.57
0	12
0	10.79
1	25
0	26.4
0	19.7
0	21.28
0	32
0	11.6
0	26.32
0	30
0	23.24
0	16.15
0	34
0	16.4
0	17.9
0	16.8
0	17.59
0	12.8
0	19.63
1	23
0	33.83
0	20.28
0	18
0	27.8
0	38
0	32.91
0	40
0	24.1
0	39.41
0	20.49
0	25
1	26.6
0	34.02
0	19.25
0	21.28
0	37
0	37
0	25.16
0	31.8
0	16.69
0	35.6
0	16.31
1	35
0	13.63
0	23
0	35
0	23.2
0	43
0	26
0	24.74
0	24
0	40.9
0	25.5
1	42.46
0	42
0	17.48
0	42.64
0	55
0	48.5
0	36.8
0	18.3
0	31.68
0	24.8
0	45
0	35
0	38.38
0	19.56
0	33
0	30
0	12.35
0	20.69
0	25
0	25
1	25
0	32
1	38
0	20.1
0	19.69
0	50
0	31.57
0	38.58
0	36
0	13.2
0	18.4
0	17.53
0	26.4
0	27.18
0	19.95
0	17
0	37.04
0	28
0	14.47
0	16.2
0	31.2
0	20.2
0	25.17
0	20.5
0	24
0	37
1	27
0	27.13
0	40.5
0	41.23
1	39
0	43.03
0	39.25
0	38.5
0	32.22
0	38
0	55
0	32.06
0	21.2
0	43
0	37.86
0	22.75
0	32.8
0	24.62
1	43
0	37.39
0	43
0	33.83
0	50
0	38.12
0	34.74
0	42
0	37
1	30
0	30.28
0	44
0	52
0	31.03
0	22.8
0	36.4
0	37
1	10.75
0	33
0	35
1	43.75
0	36.48
0	7.94
0	28.85
0	8.67
0	44.35
0	25.2
0	37.5
0	42.55
0	24.35
0	10.8
0	46.25
0	22.7
0	31.13
0	55
1	25
1	12.2
0	24.3
0	10.6
0	12.21
0	13.8
0	40
0	35.5
0	40.63
1	40
1	30.6
0	35
0	18.86
0	33.5
0	28.4
0	19.19
0	15.94
0	18.5
0	24.77
0	26
