site	Allolobophora chlorotica	Lumbricus castaneus	Lumbricus terretris	IFT_Herb	IFT_Fong	IFT_Insec	IFT_tot	Systeme
1	33	0	0	0	0	0	0	Bio
2	52	0	0	0	0	0	0	Bio
3	8	0	2	0	0	0	0	Bio
4	0	0	0	0	0	0	0	Bio
5	0	0	0	0	0	0	0	Bio
6	0	0	0	0	0	0	0	Bio
7	133	2	25	0	0	0	0	Bio
8	19	0	0	0	0	0	0	Bio
9	2	0	0	0	0	0	0	Bio
10	10	0	0	0	0	0	0	Bio
11	0	0	0	0	0	0	0	Bio
12	0	0	2	1.39	0	1	2.39	Conv
13	0	0	0	2.33	2	2	6.33	Conv
14	0	0	2	3.56	1	0	4.56	Conv
15	0	0	0	4.5	1.2	1.25	6.95	Conv
16	0	0	0	3.38	0	1.64	5.02	Conv
17	0	0	4	1.37	0.97	0	2.34	Conv
18	2	0	0	4.47	0.56	1	6.03	Conv
19	27	0	0	2.6	1	1.25	4.85	Conv
20	21	0	0	3.37	2.485	1	6.855	Conv
21	6	0	0	2.78	0.701	1	4.481	Conv
22	23	0	0	2.36	0	0	2.36	Conv
23	5	0	5	0	0	0	0	Bio
24	15	5	4	0	0	0	0	Bio
25	14	1	3	0	0	0	0	Bio
26	83	105	44	0	0	0	0	Bio
27	4	46	34	0	0	0	0	Bio
28	12	2	6	1.667	1	0	2.667	Conv
29	28	3	2	1.667	0.2	0	1.867	Conv
30	31	3	11	0	4	1.5	5.5	Conv
31	21	4	7	1.6	0	0	1.6	Conv
32	26	23	3	0.8	4	0.2	5	Conv
